epoch,train_loss,val_loss,val_acc,val_macro_f1,f1_CNV,f1_DME,f1_DRUSEN,f1_NORMAL,lr,minutes
1,0.26372856596206457,0.12633970108777284,0.9554,0.9350796539825239,0.9695216907675195,0.9395562356541699,0.8582677165354331,0.972972972972973,9.890738003669029e-05,7.86150209903717
2,0.12198241762554755,0.09551457769460976,0.9656,0.9500692608964677,0.9781054512957998,0.9535928143712575,0.8921859545004945,0.9763928234183191,9.567727288213005e-05,7.3745680491129555
3,0.08439923522328609,0.08665609305016697,0.9686,0.9555108803478308,0.979509119567665,0.9617083946980854,0.9029779058597502,0.9778481012658228,9.045084971874738e-05,7.371320851643881
4,0.060057392649316185,0.09243701611310244,0.968,0.955324199065186,0.9796380090497737,0.9522365428354814,0.9123134328358209,0.9771088115396676,8.345653031794292e-05,7.329047850767771
5,0.04272648751338286,0.0945315374977421,0.9696,0.9567535500282957,0.9790304396843292,0.9602941176470589,0.9066410009624639,0.9810486418193304,7.500000000000001e-05,7.305177195866903
6,0.03220351292597941,0.09794766586002152,0.9732,0.9620865746163895,0.9804362491567349,0.9725722757598221,0.9115128449096099,0.9838249286393911,6.545084971874738e-05,7.307198719183604
7,0.02442922461832364,0.0939288380491591,0.9752,0.9645003628449554,0.9828674481514879,0.9749262536873157,0.916030534351145,0.9841772151898734,5.522642316338269e-05,7.305228014787038
8,0.020502473979497025,0.10189582044290219,0.9736,0.9618542543133565,0.9806741573033708,0.9742457689477557,0.9076773566569485,0.9848197343453511,4.4773576836617344e-05,7.33687740166982
9,0.015338436901736635,0.1223381174546168,0.9738,0.9620321214893514,0.9822830230993497,0.9724497393894267,0.9106967615309126,0.9826989619377162,3.454915028125264e-05,7.37289571762085
10,0.012876456078403398,0.1186035388096,0.9776,0.9677237511875256,0.9838637382339758,0.9770879526977088,0.9235294117647059,0.9864139020537125,2.5000000000000018e-05,7.363969810803732
11,0.00975111840463135,0.10977986398174434,0.9762,0.9659628180876623,0.9833931777378815,0.9727339719970524,0.9226305609284333,0.9850935616872819,1.654346968205711e-05,7.532810433705648
12,0.008827822312052475,0.11489226808355925,0.977,0.9673360074990824,0.9827005167378118,0.9756816507000737,0.9239653512993262,0.9869965112591182,9.549150281252635e-06,7.449726152420044
13,0.00679526020942239,0.1262488452388369,0.9778,0.968302697174131,0.9836359560636628,0.9755736491487786,0.9269717624148004,0.9870294210692818,4.322727117869952e-06,7.30351711511612
14,0.006509674197824673,0.12676059764671718,0.9774,0.9677417742800356,0.9833558254610886,0.9755736491487786,0.925,0.987037622510275,1.092619963309716e-06,7.305298221111298
15,0.0058646105085871265,0.12659445912565698,0.978,0.9683396234911781,0.9840628507295174,0.9770879526977088,0.9251700680272109,0.987037622510275,0.0,7.362881084283193
