source,n,n_identifiers,vendor,has_4class_truth,accuracy_condition1,sensitivity,specificity,note,ood_cosine_mean,ood_maha_combined_mean,softmax_confidence_mean,mutual_info_mean,cp_setsize_mean
Kermany-test,968,,Kermany,True,0.996900826446281,1.0,1.0,no patient/volume identifier for this source,0.7930999767871901,0.18863761866515497,0.9958637321797522,0.002072274387319464,1.0051652892561984
RETOUCH-Spectralis,342,38.0,Spectralis,False,,0.9853801169590644,,no per-class ground truth; missed-disease semantics only; no known-normal rows in this source; specificity undefined,0.5970539051345028,-0.5525830146631578,0.9811953694152047,0.014660654211027841,1.1461988304093567
RETOUCH-Cirrus,342,38.0,Cirrus,False,,0.9502923976608187,,no per-class ground truth; missed-disease semantics only; no known-normal rows in this source; specificity undefined,0.58279262051462,-3.71097340116959,0.9801353585672515,0.01659591019516063,1.043859649122807
RETOUCH-Topcon,324,36.0,Topcon,False,,0.8919753086419753,,no per-class ground truth; missed-disease semantics only; no known-normal rows in this source; specificity undefined,0.4912608233641975,-23.060903787037038,0.9566618688888889,0.04838956173093552,1.0555555555555556
Rasti,1332,148.0,Spectralis,True,0.78003003003003,0.8390022675736961,0.94,,0.5536906581276276,-3.3535600007259756,0.9618427296321321,0.036860629732528086,1.1711711711711712
NEH,16803,441.0,Spectralis,True,0.8073558293161935,0.8518113299294918,0.9048618398041273,,0.3789088824937898,-5.899104060001785,0.947767784848539,0.048969683539837855,1.3232756055466286
OCTDL-in-label,1462,560.0,Optovue,True,0.9049247606019152,0.9823008849557522,0.9789156626506024,,0.5684945841609439,-6.807310488303693,0.9858251098221614,0.022567992584823,1.0807113543091655
OCTDL-ambiguous,248,79.0,Optovue,False,,1.0,,no per-class ground truth; missed-disease semantics only; no known-normal rows in this source; specificity undefined,0.6374891664516128,-6.911051394354839,0.9802723184677419,0.026338365094109275,1.092741935483871
OCTDL-novel-class,354,183.0,Optovue,False,,0.8022598870056498,,no per-class ground truth; missed-disease semantics only; no known-normal rows in this source; specificity undefined,0.4082674398841808,-6.655322336723164,0.9474504647457628,0.07362970985167852,1.307909604519774
