scheme,alpha,marginal_coverage,mean_setsize,entropy_bits,n_distinct_sizes,cov_CNV,member_CNV,threshold_CNV,cov_DME,member_DME,threshold_DME,cov_DRUSEN,member_DRUSEN,threshold_DRUSEN,cov_NORMAL,member_NORMAL,threshold_NORMAL,size_0_frac,size_1_frac,size_2_frac,size_3_frac,size_4_frac
global,0.02,0.982,1.0096,0.07812957808071866,2,0.9865350089766607,0.4482,0.22682738304138184,0.9764705882352941,0.136,0.22682738304138184,0.936046511627907,0.1056,0.22682738304138184,0.993020304568528,0.3198,0.22682738304138184,0.0,0.9904,0.0096,0.0,0.0
mondrian,0.02,0.9832,1.0316,0.20738896449168817,4,0.9807001795332136,0.443,0.7219594120979309,0.9911764705882353,0.144,0.00862950086593628,0.9786821705426356,0.1306,0.0003005862236022949,0.9847715736040609,0.314,0.9318588972091675,0.0002,0.9686,0.0306,0.0006,0.0
