coverage,source,baseline_error,accepted_error_rate_2,rank_2,accepted_error_rate_3,rank_3,accepted_error_rate_4,rank_4,accepted_error_rate_5,rank_5,accepted_error_rate_B2,rank_B2
0.7,Kermany-test,0.003099173553719,0.0,1.0,0.0,1.0,0.0044273931059724,2.0,0.0,1.0,0.0,1.0
0.7,RETOUCH-Spectralis,0.0146198830409356,0.0041771269177126,1.0,0.0041771269177126,1.0,0.012531380753138,2.0,0.0041771269177126,1.0,0.0041771269177126,1.0
0.7,RETOUCH-Cirrus,0.0497076023391812,0.0292398884239888,2.0,0.0375941422594142,3.0,0.0584797768479777,4.0,0.0167085076708508,1.0,0.0375941422594142,3.0
0.7,RETOUCH-Topcon,0.1080246913580247,0.0837745117149428,1.0,0.0970020661962496,3.0,0.1366847296401699,4.0,0.0970020661962496,3.0,0.0925928813691474,2.0
0.7,Rasti,0.2199699699699699,0.1319176683272842,4.0,0.1201201532736246,3.0,0.1565851998031178,5.0,0.1136851450625376,1.0,0.118403875081076,2.0
0.7,NEH,0.1926441706838064,0.1695360516953585,5.0,0.1040630500332597,1.0,0.1380705827238675,4.0,0.1215769293689227,3.0,0.1087390857782183,2.0
0.7,OCTDL-in-label,0.0950752393980848,0.0566738453079178,5.0,0.0336132239736071,1.0,0.0551101997800587,4.0,0.0469024926686216,3.0,0.0424074413489737,2.0
0.7,OCTDL-ambiguous,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.7,OCTDL-novel-class,0.1977401129943502,0.1210656915240955,1.0,0.1654564450829306,4.0,0.1412433067781115,2.0,0.153349875930521,3.0,0.1727177745853468,5.0
0.7,Mean rank,,,2.5,,2.125,,3.375,,2.0,,2.25
0.8,Kermany-test,0.003099173553719,0.0,1.0,0.0,1.0,0.003873968492123,2.0,0.0,1.0,0.0,1.0
0.8,RETOUCH-Spectralis,0.0146198830409356,0.0109649474612978,3.0,0.0036549824870993,1.0,0.0109649474612978,3.0,0.0036549824870993,1.0,0.0073099649741985,2.0
0.8,RETOUCH-Cirrus,0.0497076023391812,0.0255848774096949,1.0,0.0328948423838934,2.0,0.0621347022806876,3.0,0.0255848774096949,1.0,0.0328948423838934,2.0
0.8,RETOUCH-Topcon,0.1080246913580247,0.0848767448767449,1.0,0.0887347787347787,2.0,0.1234570834570834,4.0,0.0887347787347787,2.0,0.0925928125928126,3.0
0.8,Rasti,0.2199699699699699,0.1600974200424561,5.0,0.1473348659813792,2.0,0.1507130336742154,3.0,0.1366364541218543,1.0,0.1525899109478635,4.0
0.8,NEH,0.1926441706838064,0.1766797598014034,5.0,0.1280277333129327,1.0,0.1475480557624076,4.0,0.1374010595171335,3.0,0.1290692140022884,2.0
0.8,OCTDL-in-label,0.0950752393980848,0.0735294246671491,5.0,0.0487346186747384,2.0,0.058994538395736,4.0,0.0521545919150709,3.0,0.046169638744489,1.0
0.8,OCTDL-ambiguous,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.8,OCTDL-novel-class,0.1977401129943502,0.1271188971283531,1.0,0.1800851042651669,3.0,0.162429701886229,2.0,0.162429701886229,2.0,0.1906783456925297,4.0
0.8,Mean rank,,,2.75,,1.75,,3.125,,1.75,,2.375
0.9,Kermany-test,0.003099173553719,0.0,1.0,0.0,1.0,0.0034435268962176,2.0,0.0,1.0,0.0,1.0
0.9,RETOUCH-Spectralis,0.0146198830409356,0.0129954735817928,3.0,0.0064977367908963,1.0,0.016244341977241,4.0,0.0064977367908963,1.0,0.0097466051863445,2.0
0.9,RETOUCH-Cirrus,0.0497076023391812,0.0357375523499301,1.0,0.0357375523499301,1.0,0.0552307627226194,3.0,0.0357375523499301,1.0,0.0389864207453784,2.0
0.9,RETOUCH-Topcon,0.1080246913580247,0.0960222190839335,2.0,0.0994515840512168,3.0,0.1097396789530669,4.0,0.0994515840512168,3.0,0.0925928541166502,1.0
0.9,Rasti,0.2199699699699699,0.1835168706253541,5.0,0.1791790877484159,2.0,0.1816815905296707,3.0,0.1751751946878381,1.0,0.1826827030316026,4.0
0.9,NEH,0.1926441706838064,0.1822425891230245,5.0,0.1587481063776788,2.0,0.1799744747044171,4.0,0.1616576397308766,3.0,0.1551310283318633,1.0
0.9,OCTDL-in-label,0.0950752393980848,0.0797993689830919,5.0,0.0661194771574191,4.0,0.0607995192252129,1.0,0.0645994891767887,2.0,0.0653594831671039,3.0
0.9,OCTDL-ambiguous,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.9,OCTDL-novel-class,0.1977401129943502,0.1537982295301748,1.0,0.1776502829202894,2.0,0.1851856233118431,4.0,0.1789081445555095,3.0,0.1964827191892904,5.0
0.9,Mean rank,,,2.875,,2.0,,3.125,,1.875,,2.375
all,Mean rank (all 3 coverages),,,2.7083333333333335,,1.9583333333333333,,3.2083333333333335,,1.875,,2.3333333333333335
