split,n,cosine_mean,cosine_std,maha_combined_mean,maha_combined_std
train,70484,0.76064014,0.13613035,2.580712507158868e-17,0.7893687195406298
val,5000,0.75040853,0.14879245,0.017373406209679795,0.742824005976935
calibration,8000,0.74842006,0.14759466,0.00331073426973353,0.765354902982305
test,968,0.79309994,0.10866535,0.18863761792244124,0.5512979112852519
