source,condition,coverage,accepted_error_rate,baseline_error,relative_to_baseline,worse_than_baseline
Rasti,5,0.9,0.1751751946878381,0.21996996996996998,0.7963595881372025,False
Rasti,B2,0.7,0.11840387508107601,0.21996996996996998,0.5382729065119223,False
Rasti,B2,0.8,0.15258991094786356,0.21996996996996998,0.6936851924319257,False
Rasti,B2,0.9,0.1826827030316026,0.21996996996996998,0.8304892847716542,False
NEH,2,0.7,0.1695360516953585,0.19264417068380646,0.880047660375999,False
NEH,2,0.8,0.17667975980140344,0.19264417068380646,0.9171300599144214,False
NEH,2,0.9,0.1822425891230245,0.19264417068380646,0.9460062480797592,False
NEH,3,0.7,0.1040630500332597,0.19264417068380646,0.540182709208793,False
NEH,3,0.8,0.12802773331293274,0.19264417068380646,0.6645814034158817,False
NEH,3,0.9,0.15874810637767883,0.19264417068380646,0.8240483260624459,False
NEH,4,0.7,0.13807058272386755,0.19264417068380646,0.71671300633585,False
NEH,4,0.8,0.14754805576240765,0.19264417068380646,0.7659097871410985,False
NEH,4,0.9,0.1799744747044171,0.19264417068380646,0.9342326532154219,False
NEH,5,0.7,0.12157692936892278,0.19264417068380646,0.6310958122292275,False
NEH,5,0.8,0.13740105951713355,0.19264417068380646,0.7132375665944996,False
NEH,5,0.9,0.1616576397308766,0.19264417068380646,0.8391514737095828,False
NEH,B2,0.7,0.10873908577821835,0.19264417068380646,0.5644556250637637,False
NEH,B2,0.8,0.1290692140022884,0.19264417068380646,0.6699876437690615,False
NEH,B2,0.9,0.15513102833186337,0.19264417068380646,0.8052723722768923,False
OCTDL-in-label,2,0.7,0.05667384530791785,0.09507523939808482,0.5960946894976683,False
OCTDL-in-label,2,0.8,0.07352942466714918,0.09507523939808482,0.7733814306717417,False
OCTDL-in-label,2,0.9,0.07979936898309196,0.09507523939808482,0.8393286147718018,False
OCTDL-in-label,3,0.7,0.033613223973607144,0.09507523939808482,0.3535434061108895,False
OCTDL-in-label,3,0.8,0.048734618674738474,0.09507523939808482,0.5125900180033643,False
OCTDL-in-label,3,0.9,0.0661194771574191,0.09507523939808482,0.6954437093823506,False
OCTDL-in-label,4,0.7,0.05511019978005874,0.09507523939808482,0.579648288334143,False
OCTDL-in-label,4,0.8,0.058994538395736026,0.09507523939808482,0.6205037060040725,False
OCTDL-in-label,4,0.9,0.060799519225212935,0.09507523939808482,0.6394884683975633,False
OCTDL-in-label,5,0.7,0.04690249266862167,0.09507523939808482,0.49331974303255305,False
OCTDL-in-label,5,0.8,0.05215459191507099,0.09507523939808482,0.5485612473369337,False
OCTDL-in-label,5,0.9,0.06459948917678875,0.09507523939808482,0.6794564976724111,False
OCTDL-in-label,B2,0.7,0.04240744134897371,0.09507523939808482,0.4460408579294932,False
OCTDL-in-label,B2,0.8,0.046169638744489004,0.09507523939808482,0.4856115960031865,False
OCTDL-in-label,B2,0.9,0.06535948316710394,0.09507523939808482,0.6874501035273809,False
OCTDL-ambiguous,2,0.7,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,2,0.8,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,2,0.9,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,3,0.7,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,3,0.8,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,3,0.9,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,4,0.7,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,4,0.8,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,4,0.9,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,5,0.7,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,5,0.8,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,5,0.9,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,B2,0.7,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,B2,0.8,0.0,0.0,undefined (zero baseline),
OCTDL-ambiguous,B2,0.9,0.0,0.0,undefined (zero baseline),
OCTDL-novel-class,2,0.7,0.12106569152409559,0.19774011299435024,0.6122464971361407,False
OCTDL-novel-class,2,0.8,0.12711889712835317,0.19774011299435024,0.6428584226205291,False
OCTDL-novel-class,2,0.9,0.15379822953017488,0.19774011299435024,0.7777796179097417,False
OCTDL-novel-class,3,0.7,0.16545644508293061,0.19774011299435024,0.8367368794193921,False
OCTDL-novel-class,3,0.8,0.1800851042651669,0.19774011299435024,0.9107160987124158,False
OCTDL-novel-class,3,0.9,0.17765028292028945,0.19774011299435024,0.8984028593397497,False
OCTDL-novel-class,4,0.7,0.1412433067781115,0.19774011299435024,0.7142875799921641,False
OCTDL-novel-class,4,0.8,0.16242970188622907,0.19774011299435024,0.8214302066817872,False
OCTDL-novel-class,4,0.9,0.18518562331184318,0.19774011299435024,0.9365101521770357,False
OCTDL-novel-class,5,0.7,0.15334987593052105,0.19774011299435024,0.775512229705778,False
OCTDL-novel-class,5,0.8,0.16242970188622907,0.19774011299435024,0.8214302066817872,False
OCTDL-novel-class,5,0.9,0.17890814455550955,0.19774011299435024,0.904764045323577,False
OCTDL-novel-class,B2,0.7,0.17271777458534682,0.19774011299435024,0.873458460045897,False
OCTDL-novel-class,B2,0.8,0.19067834569252975,0.19774011299435024,0.9642876339307935,False
OCTDL-novel-class,B2,0.9,0.19648271918929044,0.19774011299435024,0.9936411799001262,False
