source,condition,true_state,predicted_state,count,row_pct
OCTDL-in-label,3,Normal,Normal,283,85.24
OCTDL-in-label,3,Normal,deferred,49,14.76
OCTDL-in-label,4,Disease,Disease,1030,91.15
OCTDL-in-label,4,Disease,Normal,13,1.15
OCTDL-in-label,4,Disease,deferred,87,7.7
OCTDL-in-label,4,Normal,Disease,7,2.11
OCTDL-in-label,4,Normal,Normal,295,88.86
OCTDL-in-label,4,Normal,deferred,30,9.04
OCTDL-in-label,5,Disease,Disease,985,87.17
OCTDL-in-label,5,Disease,Normal,12,1.06
OCTDL-in-label,5,Disease,deferred,133,11.77
OCTDL-in-label,5,Normal,Disease,1,0.3
OCTDL-in-label,5,Normal,Normal,299,90.06
OCTDL-in-label,5,Normal,deferred,32,9.64
OCTDL-in-label,B2,Disease,Disease,830,73.45
OCTDL-in-label,B2,Disease,Normal,10,0.88
OCTDL-in-label,B2,Disease,deferred,290,25.66
OCTDL-in-label,B2,Normal,Disease,0,0.0
OCTDL-in-label,B2,Normal,Normal,265,79.82
OCTDL-in-label,B2,Normal,deferred,67,20.18
