source,condition,true_class,predicted_class,count,row_pct
Kermany-test,B2,DRUSEN,DRUSEN,204,84.3
Kermany-test,B2,DRUSEN,NORMAL,0,0.0
Kermany-test,B2,DRUSEN,deferred,38,15.7
Kermany-test,B2,NORMAL,CNV,0,0.0
Kermany-test,B2,NORMAL,DME,0,0.0
Kermany-test,B2,NORMAL,DRUSEN,0,0.0
Kermany-test,B2,NORMAL,NORMAL,240,99.17
Kermany-test,B2,NORMAL,deferred,2,0.83
Rasti,1,CNV,CNV,0,
Rasti,1,CNV,DME,0,
Rasti,1,CNV,DRUSEN,0,
Rasti,1,CNV,NORMAL,0,
Rasti,1,CNV,deferred,0,
Rasti,1,DME,CNV,8,1.78
Rasti,1,DME,DME,421,93.56
Rasti,1,DME,DRUSEN,1,0.22
Rasti,1,DME,NORMAL,20,4.44
Rasti,1,DME,deferred,0,0.0
Rasti,1,DRUSEN,CNV,76,17.59
Rasti,1,DRUSEN,DME,39,9.03
Rasti,1,DRUSEN,DRUSEN,195,45.14
Rasti,1,DRUSEN,NORMAL,122,28.24
Rasti,1,DRUSEN,deferred,0,0.0
Rasti,1,NORMAL,CNV,0,0.0
Rasti,1,NORMAL,DME,27,6.0
Rasti,1,NORMAL,DRUSEN,0,0.0
Rasti,1,NORMAL,NORMAL,423,94.0
Rasti,1,NORMAL,deferred,0,0.0
Rasti,2,CNV,CNV,0,
Rasti,2,CNV,DME,0,
Rasti,2,CNV,DRUSEN,0,
Rasti,2,CNV,NORMAL,0,
Rasti,2,CNV,deferred,0,
Rasti,2,DME,CNV,0,0.0
Rasti,2,DME,DME,409,90.89
Rasti,2,DME,DRUSEN,0,0.0
Rasti,2,DME,NORMAL,8,1.78
Rasti,2,DME,deferred,33,7.33
Rasti,2,DRUSEN,CNV,27,6.25
Rasti,2,DRUSEN,DME,14,3.24
Rasti,2,DRUSEN,DRUSEN,146,33.8
Rasti,2,DRUSEN,NORMAL,48,11.11
Rasti,2,DRUSEN,deferred,197,45.6
Rasti,2,NORMAL,CNV,0,0.0
Rasti,2,NORMAL,DME,25,5.56
Rasti,2,NORMAL,DRUSEN,0,0.0
Rasti,2,NORMAL,NORMAL,253,56.22
Rasti,2,NORMAL,deferred,172,38.22
