true_label_name,pred_CNV_n,pred_DME_n,pred_DRUSEN_n,pred_NORMAL_n,pred_CNV_pct,pred_DME_pct,pred_DRUSEN_pct,pred_NORMAL_pct
CNV,0,0,0,0,,,,
DME,8,421,1,20,1.78,93.56,0.22,4.44
DRUSEN,76,39,195,122,17.59,9.03,45.14,28.24
NORMAL,0,27,0,423,0.0,6.0,0.0,94.0
