,S1,S2,S3,S4,S5,S6
S1,0.9999999999999999,0.6951948236818096,0.6271482156183799,0.5811887811988459,0.32989775844968894,0.22622706756767647
S2,0.6951948236818096,1.0,0.9208239159176614,0.7597406356076307,0.43009960575077244,0.27674037678932334
S3,0.6271482156183797,0.9208239159176614,0.9999999999999999,0.765901353985806,0.4056915858551222,0.25535578943178733
S4,0.5811887811988458,0.7597406356076306,0.765901353985806,1.0,0.5209089101908109,0.30431611834264066
S5,0.32989775844968894,0.43009960575077244,0.4056915858551222,0.5209089101908109,1.0,0.8334181153752778
S6,0.22622706756767647,0.2767403767893234,0.25535578943178733,0.30431611834264066,0.8334181153752778,1.0
