source,n,measured_coverage,nominal_coverage,deviation,mean_set_size
Kermany-test,968,1.0,0.98,0.020000000000000018,1.0051652892561984
Rasti,1332,0.8445945945945946,0.98,-0.13540540540540535,1.1711711711711712
NEH,16803,0.843420817711123,0.98,-0.136579182288877,1.3232756055466286
OCTDL-in-label,1462,0.9363885088919288,0.98,-0.043611491108071165,1.0807113543091655
