,Confidence,MC variance,Pred. entropy,Mutual info
Confidence,1.0,-0.7459820409176874,-0.7849388197513455,-0.7376427479070671
MC variance,-0.7459820409176874,0.9999999999999999,0.9946129321365171,0.9972696749307869
Pred. entropy,-0.7849388197513455,0.9946129321365171,0.9999999999999999,0.9899648380305934
Mutual info,-0.737642747907067,0.9972696749307869,0.9899648380305934,0.9999999999999999
