alpha,q_global,admission_threshold,degenerate,q_CNV,q_DME,q_DRUSEN,q_NORMAL
0.1,0.0002536177635192871,0.9997463822364807,True,1.9073486328125e-05,0.0005038976669311523,0.3898482322692871,1.823902130126953e-05
0.05,0.01732015609741211,0.9826798439025879,True,0.0019401907920837402,0.042013585567474365,0.9795970916748047,0.000715792179107666
0.02,0.7731726169586182,0.22682738304138184,False,0.2780405879020691,0.9913704991340637,0.9996994137763977,0.06814110279083252
0.01,0.9976702332496643,0.0023297667503356934,False,0.9758903980255127,0.9998701810836792,0.9999983310699463,0.8031156063079834
0.005,0.9997676610946655,0.00023233890533447266,False,0.9990399479866028,0.9999993443489075,1.0,0.9994284510612488
