condition,outcome,mean,std,q25,median,q75,n
2,correct,-5.73474684339486,4.944696773418208,-9.229942699584086,-7.087872585154592,-3.466547209477057,4890
2,incorrect,2.7627229651775935,5.51201939385765,-2.1349381573917823,3.350197992478031,6.807179811534111,110
3,correct,-3.29935847591366,5.6503770014240935,-4.37917026418551,-4.3786194584089095,-4.3653887881565065,4890
3,incorrect,12.656905763504245,18.06352273690507,-2.480968228489373,7.74840025556151,20.435259863636045,110
4,correct,-6.93423679201683,2.0983054689662155,-7.266301270167638,-7.266301270167638,-7.266301270167638,4890
4,incorrect,-3.663033238599291,5.752137611297693,-7.266301270167638,-7.266301270167638,5.51948851926843,110
5,correct,-5.410296130623017,4.8797160369449575,-7.4744625857388485,-6.357236508442825,-4.978706425607198,4890
5,incorrect,8.396050626248101,11.772605991523246,-1.8295574965754722,6.695578423086901,15.75230175624721,110
