source,condition,coverage,risk
Kermany-test,3,0.81,0.0
Kermany-test,3,0.8200000000000001,0.0
Kermany-test,3,0.8300000000000001,0.0
Kermany-test,3,0.84,0.0
Kermany-test,3,0.85,0.0
Kermany-test,3,0.86,0.0
Kermany-test,3,0.87,0.0
Kermany-test,3,0.88,0.0
Kermany-test,3,0.89,0.0
Kermany-test,3,0.9,0.0
Kermany-test,3,0.91,0.0
Kermany-test,3,0.92,0.0
Kermany-test,3,0.93,0.0
Kermany-test,3,0.9400000000000001,0.0
Kermany-test,3,0.9500000000000001,0.0
Kermany-test,3,0.96,0.0
Kermany-test,3,0.97,0.0
Kermany-test,3,0.98,0.0
Kermany-test,3,0.99,0.0020869860523640327
Kermany-test,3,1.0,0.0030991735537190257
Kermany-test,4,0.0,0.0
Kermany-test,4,0.01,0.0
Kermany-test,4,0.02,0.0
Kermany-test,4,0.03,0.0
Kermany-test,4,0.04,0.0
Kermany-test,4,0.05,0.0
Kermany-test,4,0.06,0.0
Kermany-test,4,0.07,0.0
Kermany-test,4,0.08,0.0
Kermany-test,4,0.09,0.0
Kermany-test,4,0.1,0.0
Kermany-test,4,0.11,0.0
Kermany-test,4,0.12,0.0
Kermany-test,4,0.13,0.0
Kermany-test,4,0.14,0.0
Kermany-test,4,0.15,0.0
Kermany-test,4,0.16,0.0
Kermany-test,4,0.17,0.0
Kermany-test,4,0.18,0.0
Kermany-test,4,0.19,0.0
Kermany-test,4,0.2,0.0
Kermany-test,4,0.21,0.0013725490196078278
Kermany-test,4,0.22,0.009391442997608314
Kermany-test,4,0.23,0.008983153557144612
Kermany-test,4,0.24,0.012913275122095653
Kermany-test,4,0.25,0.012396694214875992
Kermany-test,4,0.26,0.011919939290457187
Kermany-test,4,0.27,0.01147845924366059
Kermany-test,4,0.28,0.011068482743650925
Kermany-test,4,0.29,0.010686832740213488
Kermany-test,4,0.3,0.010330607891930322
Kermany-test,4,0.31,0.009997342192691034
Kermany-test,4,0.32,0.009684935797056036
Kermany-test,4,0.33,0.00939145768025082
Kermany-test,4,0.34,0.009115225200331601
Kermany-test,4,0.35000000000000003,0.008854793946693218
Kermany-test,4,0.36,0.008608833119256963
Kermany-test,4,0.37,0.008376153499011808
Kermany-test,4,0.38,0.008155727994313456
Kermany-test,4,0.39,0.007946612774198981
Kermany-test,4,0.4,0.007747942140174224
Kermany-test,4,0.41000000000000003,0.007558964964506538
Kermany-test,4,0.42,0.007378995654857748
Kermany-test,4,0.43,0.007207387935805172
Kermany-test,4,0.44,0.007043579121789554
Kermany-test,4,0.45,0.006887061056627663
Kermany-test,4,0.46,0.006737340656018511
Kermany-test,4,0.47000000000000003,0.0065939875102870495
Kermany-test,4,0.48,0.006456618464961088
Kermany-test,4,0.49,0.006324850099933385
Kermany-test,4,0.5,0.006198347107438051
Kermany-test,4,0.51,0.006076816319156447
Kermany-test,4,0.52,0.005959954558364071
Kermany-test,4,0.53,0.005847498122738805
Kermany-test,4,0.54,0.0057392145227577185
Kermany-test,4,0.55,0.005634865776072461
Kermany-test,4,0.56,0.005534239872785499
Kermany-test,4,0.5700000000000001,0.005437149846129591
Kermany-test,4,0.58,0.005343406854815718
Kermany-test,4,0.59,0.005252838230071193
Kermany-test,4,0.6,0.005165291708706765
Kermany-test,4,0.61,0.005080616019960447
Kermany-test,4,0.62,0.004998668885191351
Kermany-test,4,0.63,0.004919324880885125
Kermany-test,4,0.64,0.004842461827088442
Kermany-test,4,0.65,0.004767961238549478
Kermany-test,4,0.66,0.0046957187219450035
Kermany-test,4,0.67,0.004625634879872175
Kermany-test,4,0.68,0.004557610084359198
Kermany-test,4,0.6900000000000001,0.004491556616901082
Kermany-test,4,0.7000000000000001,0.004427393105972465
Kermany-test,4,0.71,0.004365035036051599
Kermany-test,4,0.72,0.0043044080542225015
Kermany-test,4,0.73,0.004245445183935663
Kermany-test,4,0.74,0.004188074145064408
Kermany-test,4,0.75,0.004132231404958664
Kermany-test,4,0.76,0.004077861579414384
Kermany-test,4,0.77,0.004024902387678382
Kermany-test,4,0.78,0.00397329969515404
Kermany-test,4,0.79,0.003923005851555277
Kermany-test,4,0.8,0.0038739684921230474
Kermany-test,4,0.81,0.0038261406473417553
Kermany-test,4,0.8200000000000001,0.003779481038431367
Kermany-test,4,0.8300000000000001,0.003733945465697652
Kermany-test,4,0.84,0.003689492914585122
Kermany-test,4,0.85,0.003646087396120623
Kermany-test,4,0.86,0.003603691476590645
Kermany-test,4,0.87,0.0035622691270572604
Kermany-test,4,0.88,0.003521788782045969
Kermany-test,4,0.89,0.003482218647178197
Kermany-test,4,0.9,0.003443526896217608
Kermany-test,4,0.91,0.0034056856877514984
Kermany-test,4,0.92,0.0033686679529376204
Kermany-test,4,0.93,0.003332445431002573
Kermany-test,4,0.9400000000000001,0.003296993435607289
Kermany-test,4,0.9500000000000001,0.00326228887732416
Kermany-test,4,0.96,0.0032283065384214726
Kermany-test,4,0.97,0.003195024421480044
Kermany-test,4,0.98,0.0031624228034839953
Kermany-test,4,0.99,0.003130479078546049
Kermany-test,4,1.0,0.0030991735537190257
Kermany-test,5,0.0,0.0
Kermany-test,5,0.01,0.0
Kermany-test,5,0.02,0.0
Kermany-test,5,0.03,0.0
Kermany-test,5,0.04,0.0
Kermany-test,5,0.05,0.0
Kermany-test,5,0.06,0.0
Kermany-test,5,0.07,0.0
Kermany-test,5,0.08,0.0
Kermany-test,5,0.09,0.0
Kermany-test,5,0.1,0.0
Kermany-test,5,0.11,0.0
Kermany-test,5,0.12,0.0
Kermany-test,5,0.13,0.0
Kermany-test,5,0.14,0.0
Kermany-test,5,0.15,0.0
Kermany-test,5,0.16,0.0
Kermany-test,5,0.17,0.0
Kermany-test,5,0.18,0.0
Kermany-test,5,0.19,0.0
Kermany-test,5,0.2,0.0
Kermany-test,5,0.21,0.0
Kermany-test,5,0.22,0.0
Kermany-test,5,0.23,0.0
Kermany-test,5,0.24,0.0
Kermany-test,5,0.25,0.0
Kermany-test,5,0.26,0.0
Kermany-test,5,0.27,0.0
Kermany-test,5,0.28,0.0
Kermany-test,5,0.29,0.0
Kermany-test,5,0.3,0.0
Kermany-test,5,0.31,0.0
Kermany-test,5,0.32,0.0
Kermany-test,5,0.33,0.0
Kermany-test,5,0.34,0.0
Kermany-test,5,0.35000000000000003,0.0
Kermany-test,5,0.36,0.0
Kermany-test,5,0.37,0.0
Kermany-test,5,0.38,0.0
Kermany-test,5,0.39,0.0
Kermany-test,5,0.4,0.0
Kermany-test,5,0.41000000000000003,0.0
Kermany-test,5,0.42,0.0
Kermany-test,5,0.43,0.0
Kermany-test,5,0.44,0.0
Kermany-test,5,0.45,0.0
Kermany-test,5,0.46,0.0
Kermany-test,5,0.47000000000000003,0.0
Kermany-test,5,0.48,0.0
Kermany-test,5,0.49,0.0
Kermany-test,5,0.5,0.0
Kermany-test,5,0.51,0.0
Kermany-test,5,0.52,0.0
Kermany-test,5,0.53,0.0
Kermany-test,5,0.54,0.0
Kermany-test,5,0.55,0.0
Kermany-test,5,0.56,0.0
Kermany-test,5,0.5700000000000001,0.0
Kermany-test,5,0.58,0.0
Kermany-test,5,0.59,0.0
Kermany-test,5,0.6,0.0
Kermany-test,5,0.61,0.0
Kermany-test,5,0.62,0.0
Kermany-test,5,0.63,0.0
Kermany-test,5,0.64,0.0
Kermany-test,5,0.65,0.0
Kermany-test,5,0.66,0.0
Kermany-test,5,0.67,0.0
Kermany-test,5,0.68,0.0
Kermany-test,5,0.6900000000000001,0.0
Kermany-test,5,0.7000000000000001,0.0
Kermany-test,5,0.71,0.0
Kermany-test,5,0.72,0.0
Kermany-test,5,0.73,0.0
Kermany-test,5,0.74,0.0
Kermany-test,5,0.75,0.0
Kermany-test,5,0.76,0.0
Kermany-test,5,0.77,0.0
Kermany-test,5,0.78,0.0
Kermany-test,5,0.79,0.0
Kermany-test,5,0.8,0.0
Kermany-test,5,0.81,0.0
Kermany-test,5,0.8200000000000001,0.0
Kermany-test,5,0.8300000000000001,0.0
Kermany-test,5,0.84,0.0
Kermany-test,5,0.85,0.0
Kermany-test,5,0.86,0.0
Kermany-test,5,0.87,0.0
Kermany-test,5,0.88,0.0
Kermany-test,5,0.89,0.0
Kermany-test,5,0.9,0.0
Kermany-test,5,0.91,0.0
Kermany-test,5,0.92,0.0
Kermany-test,5,0.93,0.0
Kermany-test,5,0.9400000000000001,0.0
Kermany-test,5,0.9500000000000001,0.0
Kermany-test,5,0.96,0.0
Kermany-test,5,0.97,0.0
Kermany-test,5,0.98,0.0
Kermany-test,5,0.99,0.0020869860523640327
Kermany-test,5,1.0,0.0030991735537190257
Kermany-test,B2,0.0,0.0
Kermany-test,B2,0.01,0.0
Kermany-test,B2,0.02,0.0
Kermany-test,B2,0.03,0.0
Kermany-test,B2,0.04,0.0
Kermany-test,B2,0.05,0.0
Kermany-test,B2,0.06,0.0
Kermany-test,B2,0.07,0.0
Kermany-test,B2,0.08,0.0
Kermany-test,B2,0.09,0.0
Kermany-test,B2,0.1,0.0
Kermany-test,B2,0.11,0.0
Kermany-test,B2,0.12,0.0
Kermany-test,B2,0.13,0.0
Kermany-test,B2,0.14,0.0
Kermany-test,B2,0.15,0.0
Kermany-test,B2,0.16,0.0
Kermany-test,B2,0.17,0.0
Kermany-test,B2,0.18,0.0
Kermany-test,B2,0.19,0.0
Kermany-test,B2,0.2,0.0
Kermany-test,B2,0.21,0.0
