true_label_name,pred_CNV_n,pred_DME_n,pred_DRUSEN_n,pred_NORMAL_n,pred_CNV_pct,pred_DME_pct,pred_DRUSEN_pct,pred_NORMAL_pct
CNV,702,10,2,3,97.91,1.39,0.28,0.42
DME,17,127,3,0,11.56,86.39,2.04,0.0
DRUSEN,79,1,169,17,29.7,0.38,63.53,6.39
NORMAL,2,2,3,325,0.6,0.6,0.9,97.89
